,Vsis,Vs,Is,T1,T2,T3,T5,T6,T7,IFPower
64,9.400000000000006,12.77984619140625,61.303710937499986,45.284,48.726,47.212,3.401,2.841,3.877,3.73e-07
65,9.500000000000005,12.85400390625,68.22509765624996,45.285,48.729,47.212,3.409,2.855,3.877,3.79e-07
66,9.600000000000005,13.027038574218752,71.19140625000009,45.285,48.728,47.212,3.401,2.876,3.879,3.87e-07
67,9.700000000000006,13.150634765625002,74.15771484375001,45.281,48.728,47.211,3.409,2.876,3.884,4.05e-07
68,9.800000000000006,13.22479248046875,77.12402343750014,45.284,48.726,47.209,3.409,2.839,3.874,4.25e-07
69,9.900000000000006,13.447265625,80.09033203125004,45.284,48.726,47.211,3.41,2.869,3.884,4.53e-07
70,10.000000000000007,13.422546386718748,77.12402343749991,45.284,48.726,47.212,3.406,2.842,3.877,4.82e-07
71,10.100000000000007,13.620300292968748,85.03417968749993,45.285,48.726,47.211,3.414,2.855,3.877,5.13e-07
72,10.200000000000006,13.818054199218748,89.97802734375006,45.284,48.727,47.211,3.406,2.876,3.879,5.41e-07
73,10.300000000000006,13.867492675781248,86.02294921874997,45.285,48.727,47.211,3.414,2.876,3.883,5.67e-07
74,10.400000000000006,14.065246582031252,89.97802734374993,45.283,48.726,47.211,3.414,2.839,3.873,5.88e-07
75,10.500000000000007,14.188842773437502,94.92187499999993,45.283,48.727,47.211,3.415,2.868,3.883,6.07e-07
76,10.600000000000007,14.2877197265625,93.93310546875013,45.285,48.728,47.212,3.411,2.843,3.876,6.22e-07
77,10.700000000000006,14.411315917968746,91.95556640625014,45.284,48.727,47.211,3.419,2.855,3.876,6.34e-07
78,10.800000000000008,14.534912109375,95.91064453124999,45.284,48.728,47.211,3.411,2.877,3.878,6.43e-07
79,10.900000000000007,14.732666015624998,96.89941406250003,45.283,48.727,47.211,3.419,2.877,3.883,6.5e-07
80,11.000000000000007,14.8809814453125,97.88818359375007,45.285,48.727,47.213,3.419,2.839,3.873,6.52e-07
81,11.100000000000007,14.955139160156246,101.84326171875003,45.285,48.726,47.212,3.419,2.869,3.883,6.53e-07
82,11.200000000000006,15.103454589843748,101.84326171875003,45.286,48.727,47.214,3.416,2.844,3.875,6.5e-07
83,11.300000000000008,15.30120849609375,106.78710937499991,45.282,48.726,47.21,3.424,2.854,3.878,6.45e-07
84,11.400000000000007,15.400085449218748,106.78710937500014,45.282,48.726,47.21,3.416,2.877,3.878,6.37e-07
85,11.500000000000007,15.30120849609375,99.86572265625007,45.284,48.726,47.211,3.423,2.877,3.882,6.3e-07
86,11.600000000000009,15.671997070312498,114.69726562500006,45.282,48.726,47.213,3.424,2.839,3.873,6.2e-07
87,11.700000000000008,15.795593261718746,115.6860351562501,45.282,48.726,47.211,3.424,2.869,3.882,6.14e-07
88,11.800000000000008,15.9686279296875,116.67480468750003,45.282,48.726,47.211,3.421,2.844,3.875,6.08e-07
89,11.900000000000007,16.0675048828125,120.62988281250009,45.284,48.726,47.212,3.429,2.854,3.877,6.1e-07
90,12.000000000000007,16.092224121093743,115.68603515624989,45.285,48.726,47.212,3.421,2.878,3.877,6.14e-07
91,12.100000000000009,16.28997802734375,120.62988281249987,45.284,48.726,47.214,3.429,2.878,3.882,6.26e-07
92,12.200000000000008,16.463012695312496,122.60742187500009,45.282,48.726,47.213,3.43,2.839,3.872,6.38e-07
93,12.300000000000008,16.487731933593746,121.6186523437499,45.284,48.725,47.212,3.43,2.869,3.882,6.55e-07
94,12.40000000000001,16.685485839843746,126.56250000000003,45.284,48.726,47.213,3.426,2.845,3.875,6.7e-07
95,12.500000000000009,16.957397460937504,131.50634765624991,45.28,48.726,47.214,3.435,2.854,3.877,6.87e-07
96,12.600000000000009,16.98211669921875,130.517578125,45.283,48.726,47.213,3.427,2.878,3.877,7.01e-07
97,12.700000000000008,17.13043212890625,133.48388671875014,45.282,48.727,47.213,3.435,2.878,3.882,7.15e-07
98,12.800000000000008,17.2540283203125,134.47265624999994,45.284,48.727,47.212,3.436,2.839,3.872,7.27e-07
99,12.90000000000001,17.254028320312496,130.5175781250001,45.283,48.727,47.211,3.436,2.869,3.882,7.38e-07
100,13.000000000000009,17.525939941406254,142.38281250000009,45.283,48.726,47.213,3.432,2.844,3.875,7.49e-07
101,13.100000000000009,17.698974609375,142.38281249999997,45.284,48.726,47.213,3.441,2.854,3.877,7.57e-07
102,13.20000000000001,17.82257080078125,144.36035156250006,45.282,48.726,47.214,3.433,2.878,3.877,7.64e-07
103,13.30000000000001,17.822570800781246,138.427734375,45.281,48.726,47.214,3.44,2.84,3.882,7.73e-07
104,13.40000000000001,18.0450439453125,142.38281250000009,45.285,48.726,47.214,3.442,2.84,3.872,7.77e-07
105,13.500000000000009,18.21807861328125,143.37158203125,45.282,48.726,47.211,3.442,2.869,3.881,7.84e-07
106,13.600000000000009,18.292236328124996,146.33789062500003,45.282,48.726,47.212,3.438,2.844,3.875,7.88e-07
107,13.70000000000001,18.4405517578125,151.28173828125003,45.283,48.726,47.211,3.446,2.855,3.877,7.95e-07
108,13.80000000000001,18.39111328125,142.38281249999997,45.284,48.727,47.213,3.439,2.878,3.882,7.99e-07
